,Neighborhood,Latitude,Longitude
0,A. S. Rao Nagar,17.4799497,78.5568336
1,A.C. Guards,17.4028042,78.4594873
2,Abhyudaya Nagar,17.3457,78.3827
3,Abids,17.3894783,78.477182
4,Adikmet,17.4095495,78.5130943
5,Aghapura,17.389178,78.4652731
6,"Aliabad, Hyderabad",17.34563,78.4726799
7,Alijah Kotla,17.3605451,78.4801015
8,Allwyn Colony,17.5043618,78.4149849
9,Alwal,17.5022292,78.5088584
10,Amberpet,17.392,78.5163
11,Ameerpet,17.4375012,78.4482505
12,"Ashok Nagar, Hyderabad",17.405826,78.4902601
13,Asif Nagar,17.3894,78.4527
14,Attapur,17.3667,78.4285
15,"Azamabad, Hyderabad",17.4071166,78.5032906
16,Azampura,17.3761935,78.490874
17,Badichowdi,17.3883755,78.4877854
18,Bagh Lingampally,17.3974359,78.4979706
19,Bairamalguda,17.3410616,78.5423473
20,Balkampet,17.4469233,78.4504513
21,Banjara Hills,17.4177464,78.4399014
22,"Bank Street, Hyderabad",17.3857171,78.4801566
23,"Barkas, Hyderabad",17.3157042,78.4762499174691
24,Barkatpura,17.3926121,78.4969683
25,Basheerbagh,17.4050023,78.4769104
26,Bazarghat,17.4027867,78.4604489
27,Begum Bazaar,17.3730788,78.4705549
28,Begumpet,17.4440199,78.4624821
29,Bharat Nagar,17.4639,78.4283
30,"BHEL Township, Hyderabad",17.4916,78.292
31,Borabanda,17.45167,78.415421
32,Bowenpally,17.4755371,78.4792282
33,Chaderghat,17.3820325,78.4925338
34,Champapet,17.3445706,78.5169717
35,Chanchalguda,17.3673732,78.4965799
36,Chandrayan Gutta,17.323929,78.4798662
37,Cherlapally,17.4687455,78.6024858
38,Chikkadpally,17.400939,78.4976319
39,Chilkalguda,17.4315325,78.5071619
40,Chintal Basti,17.4096785,78.4570516
41,Chintalakunta,17.3339,78.5622
42,Dabirpura,17.3665277,78.4901244
43,Dar-ul-Shifa,17.3693959,78.4788189
44,Dhoolpet,17.3721615,78.4605351
45,Dilsukhnagar,17.3687948,78.5250297
46,Domalguda,17.4078455,78.4850003
47,Edi Bazar,17.348918,78.493659
48,Erragadda,17.4487999,78.4356074
49,"Fateh Nagar, Hyderabad",17.4581554,78.4513374
50,Ferozguda,17.4646179,78.4616333
51,Film Nagar,17.4140574,78.4105031
52,Gachibowli,17.4436222,78.3519638
53,Gaddiannaram,17.3636842,78.523971
54,Golnaka,17.3901064,78.5083605
55,Goshamahal,17.3805762,78.468846
56,Gudimalkapur,17.3879203,78.4371165
57,Gulzar Houz,17.3634508,78.4749992
58,Habsiguda,17.4154761,78.5426918
59,Hafeezpet,17.4823997,78.3630141
60,Hasmathpet,17.4761698,78.4824765
61,Hastinapuram,17.3291354,78.5542145
62,Hayathnagar,17.3281147,78.6045399
63,"Himayatnagar, Hyderabad",17.4040987,78.48818155118391
64,HITEC City,17.4490055,78.3831376
65,Hyderguda,17.4012791,78.4804894
66,IDA Bollaram,17.5490437,78.3304096
67,Izzat Nagar,17.4681506,78.3725279
68,Jahanuma,17.3433524,78.4614644
69,Jamia Osmania,17.4102641,78.5180366
70,Jeedimetla,17.5127528,78.47508482128285
71,Jubilee Hills,17.4308362,78.4102882
72,Kachiguda,17.39004015,78.49462050784989
73,Kakatiya Nagar,17.4146865,78.5397653
74,"Kamala Nagar, Hyderabad",17.328264,78.5770152
75,Kapra,17.4885,78.5682
76,"Karkhana, Secunderabad",17.4732138,78.5115017
77,Karmanghat,17.3410061,78.5329747
78,Karwan,17.3800823,78.437475
79,Kavadiguda,17.4227022,78.4917695
80,Khairtabad,17.4124263,78.4618235
81,Khajaguda,17.4172202,78.3656108
82,Khilwat,17.3562115,78.4683744
83,"Kings Colony, Shastripuram",17.3336142,78.4473761
84,Kompally,17.5366,78.4845
85,Kondapur,17.4699,78.3578
86,"Kothapet, Hyderabad",17.4263524,78.4349398685041
87,"Koti, Hyderabad",17.3847309,78.4836642
88,"Krishna Nagar, Hyderabad",17.4330523,78.4246746
89,Kukatpally,17.4930841,78.4054408
90,Kushaiguda,17.4825451,78.5726444
91,Lab quarters,17.3358,78.5056
92,Lakdi ka pul,17.405368,78.4599489
93,Lal Bahadur Nagar,17.3457,78.5522
94,Lal Darwaza,17.3463862,78.4774507
95,Lallaguda,17.4377225,78.521976
96,Langar Houz,17.3827733,78.39253499775691
97,"Lingampally, Hyderabad",17.4880496,78.316068
98,Lingojiguda,17.2628,78.4984
99,Lothkunta,17.4956214,78.5155272
100,Madannapet,17.3581,78.4986
101,Madhapur,17.4408578,78.3916289
102,"Madina, Hyderabad",17.3363725,78.466382
103,Madinaguda,17.4917948,78.342306
104,Maharajgunj,17.3776,78.4777
105,Mahatma Gandhi Road (Secunderabad),17.4425686,78.4875432
106,Malakpet,17.3736706,78.4996484
107,Malkajgiri,17.4483438,78.5289727
108,Malkajgiri mandal,17.468600449999997,78.53672323163646
109,Mallapur,17.4405369,78.5788551
110,Mallepally,17.3893,78.4589
111,Manikonda,17.4062,78.3763
112,Manovikas Nagar,17.4683297,78.485153
113,Marredpally,17.4507936,78.5048972
114,Masab Tank,17.4029622,78.450754
115,Mehdipatnam,17.3942627,78.4342514
116,Mettuguda,17.4365,78.5204
117,Mir Alam Tank,17.3449642,78.4416561041759
118,Miyapur,17.4981608,78.3567628
119,Moghalpura,17.3575281,78.4770839
120,Moosapet,17.4685307,78.4206695
121,Moosarambagh,17.3743532,78.5160835
122,Moti Nagar (Hyderabad),17.4508069,78.422242
123,Moula-Ali,17.4668161,78.5592161
124,Musheerabad,17.4191423,78.4985732
125,Mylargadda,17.4222908,78.5169703
126,Nacharam,17.4308,78.5595
127,Nagole,17.3775306,78.5601231
128,Nalgonda 'X' Roads,17.3750927,78.4984123
129,Nallakunta,17.3975005,78.50557
130,Namalagundu,17.422247,78.5169263
131,"Nampally, Hyderabad",17.3918524,78.4660052
132,Nanakramguda,17.4258278,78.3405519
133,Nanalnagar,17.3962507,78.4270607
134,Narayanguda,17.3981159,78.4885006
135,Nawab Saheb Kunta,17.3397918,78.4578365
136,Nayapul,17.3697,78.4764
137,Neredmet,17.470446,78.5360054
138,Nizampet,17.515397,78.3817156
139,Old Neredmet,17.470446,78.5360054
140,Padmanabha Nagar Colony,17.3883845,78.4292503
141,Padmarao Nagar,17.4256007,78.50851533497305
142,Pan bazar,17.4351,78.489
143,Parsigutta,17.4155855,78.5113023
144,Patancheru,17.5286092,78.2674254
145,Patny,17.4397016,78.4947847
146,Pragathi Nagar,17.5169818,78.3960186
147,Prakash Nagar,17.4423,78.4688
148,Punjagutta,17.4236466,78.4484055
149,Purana pul,17.3674891,78.4579042
150,Quthbullapur,17.4984,78.4637
151,Radha Krishna Nagar,17.3645619,78.4239175
152,Raidurg,17.4141743,78.3907158
153,Raj Bhavan Road,17.418935,78.460159
154,Ramanthapur,17.388504400000002,78.53716765535319
155,"Ramnagar, Hyderabad",17.4263524,78.4349398685041
156,Rastrapathi Road,12.1190942,76.6868741
157,"Red Hills, Hyderabad",17.3982921,78.4642498
158,Rein Bazar,17.3571,78.4937
159,Risala Bazar,17.5284,78.516
160,RTC X Roads,17.4070321,78.4968023
161,Safilguda,17.4665153,78.5398739
162,Saidabad,17.3574,78.5112
163,Saifabad,17.4047878,78.4658367
164,Sainikpuri,17.4892154,78.5424889
165,Sanathnagar,17.4569654,78.4434780636594
166,Sanghi Nagar,17.2704,78.6773
167,Sanjeeva Reddy Nagar,17.4417442,78.446653
168,Santoshnagar,17.3467185,78.5081947
169,Saroornagar,17.3581194,78.55465393564508
170,Secunderabad,17.4690889,78.5059176
171,Serilingampally,17.46565735,78.34067239565113
172,Shah-Ali-Banda,17.3498,78.4681
173,Shahran Market,37.4041742,71.4741826
174,Shanker Mutt,17.4007635,78.50734
175,Shivam Road,17.390941,78.523493
176,Sikh Village,17.4600978,78.4872869
177,Silpa Avenue Colony,17.4395497,78.3675617
178,"Sindhi Colony, Secunderabad",17.4412194,78.481048
179,Sitaphalmandi,17.4297326,78.5174265
180,Somajiguda,17.4255053,78.4585197
181,Srinagar colony,17.431231,78.4337951
182,Suchitra Center,17.5022,78.4716
183,Sultan Bazar,17.3870437,78.4869648
184,Tarnaka,17.4285479,78.5379433
185,Tilaknagar,17.3926,78.5088
186,Tirumalagiri,17.4777,78.5107
187,Tolichowki,17.4002904,78.4118051
188,Umdanagar,17.2634072,78.3931714
189,Uppal Kalan,17.3984,78.5583
190,Uppuguda,17.340814,78.4841834
191,Vanasthalipuram,17.3303179,78.568278
192,Vasavi Colony,17.3659999,78.5482787
193,Vidyanagar,17.4065,78.5139
194,Vikrampuri,17.4145722,78.5455538
195,Yakutpura,17.3586277,78.4858046
196,Yapral,17.5030543,78.5407976
197,Yellareddyguda,17.4333135,78.4415476
198,Yousufguda,17.4387499,78.4279866
